Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Year,Mileage,Price,SellType,OfficeCityState
42121225,,,제네시스,EQ900,3.8 GDI AWD,오토,가솔린,201603.0,120000.0,2050.0,일반,전북
41800928,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,프레스티지,오토,가솔린+전기,202303.0,38711.0,2370.0,일반,인천
41792911,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,프레스티지,오토,가솔린+전기,202303.0,38711.0,2370.0,일반,인천
41518204,,EncarDiagnosisP0,현대,캐스퍼,터보 인스퍼레이션,오토,가솔린,202308.0,83481.0,1560.0,일반,경기
41478453,,EncarDiagnosisP0,제네시스,GV80,3.5T 가솔린 AWD,오토,가솔린,202402.0,10243.0,6990.0,일반,경기
41659921,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 코나,가솔린 1.6 터보 4WD,오토,가솔린,202207.0,38149.0,2540.0,일반,전북
41700503,,EncarDiagnosisP0,기아,모하비,4WD QV300,오토,디젤,201501.0,204030.0,890.0,일반,전남
41678660,,EncarDiagnosisP0,제네시스,GV80,3.0 디젤 AWD,오토,디젤,202006.0,97495.0,3690.0,일반,전남
41652949,,EncarDiagnosisP1,현대,더 뉴 코나,가솔린 1.6 터보 4WD,오토,가솔린,202207.0,38149.0,2540.0,일반,전북
42091704,EncarMeetgo,EncarDiagnosisP1,현대,캐스퍼,터보 디 에센셜 라이트,오토,가솔린,202311.0,6682.0,1670.0,일반,전북
42085284,,EncarDiagnosisP1,현대,캐스퍼,터보 디 에센셜 라이트,오토,가솔린,202311.0,6682.0,1670.0,일반,전북
41811643,EncarMeetgo,EncarDiagnosisP0,제네시스,G80 (RG3),가솔린 2.5 터보 2WD,오토,가솔린,202004.0,16783.0,3540.0,일반,경기
41689580,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202201.0,85184.0,2920.0,일반,경기
41797453,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202004.0,64902.0,3440.0,일반,경기
42097613,EncarMeetgo,EncarDiagnosisP1,제네시스,GV80,3.0 디젤 AWD,오토,디젤,202206.0,81946.0,4250.0,일반,경기
41160119,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),디젤 2.2 2WD,오토,디젤,202010.0,99385.0,3290.0,일반,경기
41371338,EncarMeetgo,EncarDiagnosisP2,기아,올 뉴 카니발,9인승 하이리무진,오토,디젤,201706.0,100918.0,1620.0,일반,서울
41371356,EncarMeetgo,EncarDiagnosisP2,쉐보레(GM대우),트래버스,3.6 AWD LT 레더 프리미엄,오토,가솔린,201912.0,82281.0,1790.0,일반,서울
41786378,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸,디젤 2.2 4WD,오토,디젤,202201.0,7058.0,2830.0,일반,서울
42076239,EncarMeetgo,EncarDiagnosisP1,기아,모닝 어반 (JA),프레스티지,오토,가솔린,202208.0,18498.0,1470.0,일반,전북
41782921,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,202004.0,64902.0,3440.0,일반,경기
41734793,,EncarDiagnosisP0,제네시스,GV80,2.5T 가솔린 2WD,오토,가솔린,202403.0,6649.0,6340.0,일반,경기
41689358,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,202201.0,85184.0,2920.0,일반,경기
