Id,HomeService,EncarDiagnosis,Manufacturer,Model,Badge,Transmission,FuelType,Mileage,Price,SellType,OfficeCityState,Model_Month,Vehicle_Age
41597276,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 기아 레이,시그니처,오토,가솔린,18204.0,1730.0,일반,서울,5,2
41346759,EncarMeetgo,EncarDiagnosisP2,기아,올 뉴 카니발,Others,오토,가솔린,124412.0,1250.0,일반,서울,10,10
41894967,EncarMeetgo,EncarDiagnosisP2,KG모빌리티(쌍용),Others,Others,오토,디젤,155039.0,670.0,일반,서울,5,11
41700470,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,트렌디,오토,가솔린+전기,118996.0,1640.0,일반,서울,2,3
41643039,EncarMeetgo,EncarDiagnosisP1,현대,투싼 (NX4),가솔린 1.6 터보 4WD,오토,가솔린,75151.0,2760.0,일반,서울,5,3
41773400,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,73799.0,2910.0,일반,경기,3,4
41390976,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,75312.0,2610.0,일반,경기,1,4
41729142,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,94971.0,2330.0,일반,경기,9,4
41911479,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,가솔린,51700.0,2700.0,일반,경기,5,4
41835882,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),Others,Others,오토,가솔린,104482.0,1250.0,일반,서울,8,6
41785662,EncarMeetgo,EncarDiagnosisP1,현대,캐스퍼,Others,오토,가솔린,58463.0,1280.0,일반,서울,10,3
41935282,EncarMeetgo,EncarDiagnosisP1,현대,LF 쏘나타,2.0 스마트,오토,가솔린,107615.0,940.0,일반,서울,11,11
41792879,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린,152654.0,599.0,일반,서울,8,15
41963434,EncarMeetgo,EncarDiagnosisP2,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,12796.0,2799.0,일반,서울,3,1
41894964,,EncarDiagnosisP2,KG모빌리티(쌍용),Others,Others,오토,디젤,155039.0,670.0,일반,서울,5,11
41346755,,EncarDiagnosisP2,기아,올 뉴 카니발,Others,오토,가솔린,124412.0,1250.0,일반,서울,10,10
41597274,,EncarDiagnosisP2,기아,더 뉴 기아 레이,시그니처,오토,가솔린,18204.0,1730.0,일반,서울,5,2
41546134,EncarMeetgo,EncarDiagnosisP1,쉐보레(GM대우),Others,Others,오토,가솔린,84175.0,1650.0,일반,광주,3,6
41501557,EncarMeetgo,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,23621.0,3650.0,일반,서울,1,2
41501626,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 4WD,오토,가솔린,25320.0,3250.0,일반,서울,1,4
41802068,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 아반떼 (CN7),1.6,오토,가솔린,41487.0,1900.0,일반,경기,3,3
41702812,EncarMeetgo,EncarDiagnosisP2,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,60347.0,1810.0,일반,경기,3,4
41894389,EncarMeetgo,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,34817.0,2560.0,일반,경기,7,4
41502642,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 4WD,오토,가솔린,41233.0,3680.0,일반,서울,11,4
41501217,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,44856.0,2970.0,일반,서울,1,4
41641168,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,50669.0,2510.0,일반,서울,2,4
41501484,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,78057.0,3460.0,일반,서울,1,4
41928296,EncarMeetgo,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,110234.0,3090.0,일반,경기,7,4
41873015,EncarMeetgo,EncarDiagnosisP1,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,40269.0,2600.0,일반,서울,6,4
41334577,EncarMeetgo,EncarDiagnosisP1,KG모빌리티(쌍용),Others,Others,오토,가솔린,75982.0,1240.0,일반,경기,12,9
41911400,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 TM,Others,오토,가솔린,106424.0,1870.0,일반,경기,12,7
41873582,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,50464.0,3380.0,일반,경기,5,3
41409058,EncarMeetgo,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,32980.0,2770.0,일반,경기,6,2
41803991,EncarMeetgo,EncarDiagnosisP1,현대,싼타페 DM,Others,오토,디젤,138340.0,950.0,일반,경기,6,12
41970375,EncarMeetgo,EncarDiagnosisP1,현대,더 뉴 그랜드 스타렉스,Others,오토,디젤,57642.0,2380.0,일반,경기,1,7
41797902,,,쉐보레(GM대우),Others,Others,오토,가솔린,63500.0,330.0,일반,서울,1,11
41773397,,EncarDiagnosisP2,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,73799.0,2910.0,일반,경기,3,4
41591924,,EncarDiagnosisP0,현대,아반떼 (CN7),1.6,오토,가솔린,79837.0,1870.0,일반,서울,9,4
41591923,,EncarDiagnosisP0,기아,카니발 4세대,Others,오토,가솔린,72741.0,2630.0,일반,서울,2,3
41390975,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,75312.0,2610.0,일반,경기,1,4
41347504,,,기아,Others,Others,오토,가솔린,107426.0,340.0,일반,광주,10,15
41591925,,EncarDiagnosisP0,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,53646.0,2320.0,일반,서울,2,4
41797902,,,쉐보레(GM대우),Others,Others,오토,가솔린,63500.0,330.0,일반,서울,1,11
41637839,,EncarDiagnosisP1,현대,투싼 (NX4),가솔린 1.6 터보 4WD,오토,가솔린,75151.0,2760.0,일반,서울,5,3
41591924,,EncarDiagnosisP0,현대,아반떼 (CN7),1.6,오토,가솔린,79837.0,1870.0,일반,서울,9,4
41591923,,EncarDiagnosisP0,기아,카니발 4세대,Others,오토,가솔린,72741.0,2630.0,일반,서울,2,3
41390975,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,75312.0,2610.0,일반,경기,1,4
41728143,,EncarDiagnosisP1,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,94971.0,2330.0,일반,경기,9,4
41699100,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,트렌디,오토,가솔린+전기,118996.0,1640.0,일반,서울,2,3
41956406,,,기아,쏘렌토 4세대,HEV 1.6 2WD,오토,가솔린+전기,83835.0,2740.0,일반,경기,4,5
41900471,,EncarDiagnosisP1,기아,카니발 4세대,Others,오토,가솔린,51700.0,2700.0,일반,경기,5,4
41208504,,EncarDiagnosisP0,기아,카니발 4세대,Others,오토,가솔린,40427.0,3299.0,일반,서울,7,3
41935100,,EncarDiagnosisP1,현대,LF 쏘나타,2.0 스마트,오토,가솔린,107615.0,940.0,일반,서울,11,11
41244768,,EncarDiagnosisP0,현대,아반떼 (CN7),Others,오토,가솔린,45495.0,2240.0,일반,서울,4,4
41963043,,EncarDiagnosisP2,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,12796.0,2799.0,일반,서울,3,1
41237694,,,현대,Others,Others,오토,가솔린,229112.0,250.0,일반,서울,7,15
41697517,,,현대,캐스퍼,Others,오토,가솔린,58456.0,1280.0,일반,서울,10,3
41783360,,EncarDiagnosisP1,현대,캐스퍼,Others,오토,가솔린,58463.0,1280.0,일반,서울,10,3
41832700,,EncarDiagnosisP1,쉐보레(GM대우),Others,Others,오토,가솔린,104482.0,1250.0,일반,서울,8,6
41440647,,,현대,싼타페 더 프라임,디젤 2.0 2WD,오토,디젤,260637.0,680.0,일반,서울,1,10
41876715,,,현대,LF 쏘나타,2.0 스마트,오토,가솔린,107607.0,940.0,일반,서울,11,11
41791951,,EncarDiagnosisP1,현대,Others,Others,오토,가솔린,152654.0,599.0,일반,서울,8,15
41542022,,EncarDiagnosisP1,쉐보레(GM대우),Others,Others,오토,가솔린,84175.0,1650.0,일반,광주,3,6
41871437,,EncarDiagnosisP1,기아,디 올 뉴 니로,시그니처,오토,가솔린+전기,40269.0,2600.0,일반,서울,6,4
41799431,,EncarDiagnosisP1,현대,더 뉴 아반떼 (CN7),1.6,오토,가솔린,41487.0,1900.0,일반,경기,3,3
41915615,,EncarDiagnosisP1,기아,Others,Others,오토,가솔린,110234.0,3090.0,일반,경기,7,4
41498623,,EncarDiagnosisP1,현대,그랜저 (GN7),2.5 가솔린 2WD,오토,가솔린,23621.0,3650.0,일반,서울,1,2
41498624,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,78057.0,3460.0,일반,서울,1,4
41498621,,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 4WD,오토,가솔린,25320.0,3250.0,일반,서울,1,4
41498627,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,44856.0,2970.0,일반,서울,1,4
41637864,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,50669.0,2510.0,일반,서울,2,4
41620846,,,기아,Others,노블레스,오토,가솔린+전기,46178.0,2800.0,일반,서울,1,4
41702810,,EncarDiagnosisP2,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,60347.0,1810.0,일반,경기,3,4
41498629,,EncarDiagnosisP1,기아,쏘렌토 4세대,가솔린 2.5T 4WD,오토,가솔린,41233.0,3680.0,일반,서울,11,4
41885072,,EncarDiagnosisP1,기아,K5 하이브리드 3세대,시그니처,오토,가솔린+전기,34817.0,2560.0,일반,경기,7,4
41699931,,EncarDiagnosisP0,기아,더 뉴 셀토스,가솔린 1.6 터보 2WD,오토,가솔린,26094.0,2350.0,일반,경기,11,2
41534228,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,81979.0,1750.0,일반,경기,2,4
41501119,EncarMeetgo,EncarDiagnosisP1,기아,K8,Others,오토,가솔린,70357.0,2430.0,일반,서울,1,4
41534267,EncarMeetgo,EncarDiagnosisP2,기아,쏘렌토 4세대,디젤 2.2 2WD,오토,디젤,33522.0,2890.0,일반,경기,7,5
41534250,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,59204.0,3480.0,일반,경기,1,3
41508541,EncarMeetgo,EncarDiagnosisP1,현대,스타리아,Others,오토,디젤,65766.0,3110.0,일반,서울,7,3
41500377,EncarMeetgo,EncarDiagnosisP1,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,85308.0,2090.0,일반,서울,2,4
41926461,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,25977.0,3230.0,일반,경기,3,4
41500250,EncarMeetgo,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,115780.0,2870.0,일반,서울,2,4
41501119,EncarMeetgo,EncarDiagnosisP1,기아,K8,Others,오토,가솔린,70357.0,2430.0,일반,서울,1,4
41534250,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,59204.0,3480.0,일반,경기,1,3
41330661,,EncarDiagnosisP1,KG모빌리티(쌍용),Others,Others,오토,가솔린,75982.0,1240.0,일반,경기,12,9
41800197,,EncarDiagnosisP1,현대,싼타페 DM,Others,오토,디젤,138340.0,950.0,일반,경기,6,12
41962876,,EncarDiagnosisP1,현대,더 뉴 그랜드 스타렉스,Others,오토,디젤,57642.0,2380.0,일반,경기,1,7
41408504,,EncarDiagnosisP1,기아,스포티지 5세대,가솔린 1.6 터보 2WD,오토,가솔린,32980.0,2770.0,일반,경기,6,2
41909762,,EncarDiagnosisP1,현대,싼타페 TM,Others,오토,가솔린,106424.0,1870.0,일반,경기,12,7
41869144,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,50464.0,3380.0,일반,경기,5,3
41498631,,EncarDiagnosisP1,기아,K8,Others,오토,가솔린,70357.0,2430.0,일반,서울,1,4
41506160,,EncarDiagnosisP1,현대,팰리세이드,Others,오토,가솔린,48321.0,3450.0,일반,서울,5,4
41498635,,EncarDiagnosisP1,기아,셀토스,가솔린 1.6 터보 2WD,오토,가솔린,85308.0,2090.0,일반,서울,2,4
41506158,,EncarDiagnosisP1,현대,스타리아,Others,오토,디젤,65766.0,3110.0,일반,서울,7,3
41690249,,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 2WD,오토,가솔린,77231.0,3100.0,일반,서울,9,6
41534186,,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,81979.0,1750.0,일반,경기,2,4
41502396,,,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,65825.0,2800.0,일반,서울,6,5
39955475,,EncarDiagnosisP0,기아,Others,럭셔리,오토,가솔린,112465.0,470.0,일반,대구,3,11
41915606,,EncarDiagnosisP1,현대,팰리세이드,가솔린 3.8 2WD,오토,가솔린,25977.0,3230.0,일반,경기,3,4
41651426,,,현대,Others,Others,오토,LPG(일반인 구입),150448.0,560.0,일반,경기,12,27
41640133,,,기아,Others,1.6,오토,가솔린,80701.0,1570.0,일반,서울,2,3
41534262,,EncarDiagnosisP2,기아,쏘렌토 4세대,디젤 2.2 2WD,오토,디젤,33522.0,2890.0,일반,경기,7,5
41534248,,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,가솔린,59204.0,3480.0,일반,경기,1,3
41498632,,EncarDiagnosisP1,기아,카니발 4세대,9인승 시그니처,오토,디젤,115780.0,2870.0,일반,서울,2,4
41661201,EncarMeetgo,EncarDiagnosisP2,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,49203.0,2150.0,일반,경기,4,4
41534146,EncarMeetgo,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,디젤,134060.0,3690.0,일반,경기,5,4
41676228,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,68119.0,3290.0,일반,경기,8,5
41693733,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,디젤 2.2 2WD,오토,디젤,57871.0,2380.0,일반,서울,3,3
41733022,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,123255.0,2990.0,일반,경기,8,6
41762341,EncarMeetgo,EncarDiagnosisP0,제네시스,G80 (RG3),가솔린 3.5 터보 AWD,오토,가솔린,39513.0,3490.0,일반,경기,1,5
41756236,EncarMeetgo,EncarDiagnosisP1,기아,쏘렌토 4세대,디젤 2.2 4WD,오토,디젤,53080.0,2750.0,일반,인천,12,5
41926598,EncarMeetgo,EncarDiagnosisP1,제네시스,G80 (RG3),가솔린 2.5 터보 AWD,오토,가솔린,83397.0,3590.0,일반,경기,8,4
41936680,EncarMeetgo,EncarDiagnosisP1,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,47972.0,2050.0,일반,경기,3,4
41661356,EncarMeetgo,EncarDiagnosisP1,현대,Others,Others,오토,가솔린+전기,36002.0,3150.0,일반,서울,7,4
41534295,EncarMeetgo,EncarDiagnosisP1,기아,Others,시그니처,오토,가솔린+전기,58762.0,3010.0,일반,경기,3,4
41625015,EncarMeetgo,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 2WD,오토,디젤,46903.0,3290.0,일반,서울,1,4
41534165,EncarMeetgo,EncarDiagnosisP2,기아,Others,Others,오토,가솔린+전기,28489.0,3300.0,일반,경기,6,3
41721012,EncarMeetgo,EncarDiagnosisP2,현대,더 뉴 그랜저 IG,2.5,오토,가솔린,38673.0,2590.0,일반,경기,9,4
41801102,EncarMeetgo,EncarDiagnosisP1,기아,더 뉴 카니발 4세대,Others,오토,가솔린,52991.0,3730.0,일반,경기,1,2
41278135,,EncarDiagnosisP0,현대,Others,Others,오토,가솔린,43635.0,1599.0,일반,서울,12,7
41534161,,EncarDiagnosisP2,기아,Others,Others,오토,가솔린+전기,28489.0,3300.0,일반,경기,6,3
41534145,,EncarDiagnosisP2,기아,카니발 4세대,Others,오토,디젤,134060.0,3690.0,일반,경기,5,4
41661200,,EncarDiagnosisP2,현대,쏘나타 (DN8),1.6 터보,오토,가솔린,49203.0,2150.0,일반,경기,4,4
41534294,,EncarDiagnosisP1,기아,Others,시그니처,오토,가솔린+전기,58762.0,3010.0,일반,경기,3,4
41619231,,EncarDiagnosisP1,현대,팰리세이드,디젤 2.2 2WD,오토,디젤,46903.0,3290.0,일반,서울,1,4
